animal_id,species,breed,age_years,sex,weight_kg,activity_level,diet_type,daily_calories,protein_percent,fat_percent,previous_diseases,region,avg_temperature_c,humidity_percent,rainfall_mm,air_quality_index,local_outbreak_risk_index,symptoms_current,predicted_disease,prediction_date,vet_recommended_action
28,Bird,Parakeet,11.4,F,3.2,Low,Mixed Diet,314.0,28.4,15.1,None,"Gujarat, India",33.9,43.9,47.9,130.6,0.46,None,None,2025-09-29,Routine Checkup
29,Dog,Beagle,12.2,M,9.1,Medium,Mixed Diet,611.0,26.6,19.1,None,"Gujarat, India",30.4,48.6,113.2,119.1,0.33,None,None,2025-10-01,Routine Checkup
30,Rabbit,Holland Lop,12.3,M,11.3,Medium,Mixed Diet,978.0,25.5,15.2,Feline Upper Resp Infection,"Kerala, India",30.4,72.8,188.1,52.7,0.39,None,None,2025-09-25,Routine Checkup
31,Hamster,Syrian,7.2,F,7.4,High,Homemade Cooked,1646.0,34.8,15.1,Ear Infection,"Maharashtra, India",26.0,67.0,59.7,110.5,0.24,Limping,Skin Allergy,2025-10-13,Hydration therapy
32,Cat,Bengal,9.6,M,8.8,Low,Raw + Veg Mix,346.0,33.9,15.4,Parvovirus,"Kerala, India",31.7,79.7,263.0,37.9,0.23,Vomiting,None,2025-09-30,Routine Checkup
33,Rabbit,Holland Lop,9.9,F,4.4,Medium,Homemade Cooked,1334.0,32.2,18.3,None,"Gujarat, India",31.4,58.4,17.0,94.4,0.32,None,None,2025-10-23,Routine Checkup
34,Rabbit,Netherland Dwarf,0.7,F,2.2,High,Homemade Cooked,948.0,34.2,19.4,Parvovirus,"Gujarat, India",25.3,36.3,26.8,121.0,0.45,Sneezing,None,2025-09-26,Routine Checkup
35,Rabbit,Holland Lop,2.4,F,10.1,Low,Homemade Cooked,1433.0,25.2,19.6,Parvovirus,"Delhi, India",17.2,39.2,76.4,336.0,0.61,Lethargy,None,2025-10-16,Routine Checkup
36,Dog,German Shepherd,9.2,M,27.7,Medium,Raw + Veg Mix,333.0,29.0,18.4,None,"Tamil Nadu, India",26.6,65.2,85.4,66.4,0.28,Vomiting,None,2025-10-02,Routine Checkup
37,Cat,Persian,0.5,M,6.5,High,Commercial Kibble,2029.0,21.1,16.6,None,"Delhi, India",22.2,40.9,37.2,193.2,0.43,None,None,2025-10-07,Routine Checkup
38,Rabbit,Holland Lop,2.2,F,7.7,Medium,Raw + Veg Mix,1439.0,29.3,18.8,Ear Infection,"Maharashtra, India",24.5,58.5,98.9,94.2,0.3,None,None,2025-10-03,Routine Checkup
39,Hamster,Roborovski,5.6,F,11.4,Medium,Commercial Kibble,1201.0,25.8,13.6,Feline Upper Resp Infection,"Tamil Nadu, India",29.1,78.1,170.3,57.6,0.21,None,None,2025-10-22,Routine Checkup
40,Dog,Labrador,1.5,F,22.1,Low,Dry + Wet Mix,677.0,24.4,13.3,None,"Kerala, India",25.6,81.1,302.5,59.8,0.33,Vomiting,Parvovirus,2025-10-10,Administer antibiotics
41,Cat,Bengal,14.5,M,11.7,Low,Raw + Veg Mix,1655.0,23.6,10.1,Ear Infection,"Delhi, India",17.4,26.5,20.3,185.7,0.42,Sneezing,None,2025-10-21,Routine Checkup
42,Rabbit,Netherland Dwarf,9.9,M,8.8,Medium,Homemade Cooked,1725.0,28.1,15.9,Ear Infection,"Kerala, India",25.1,86.0,180.1,49.8,0.43,Sneezing,Arthritis,2025-10-05,Adjust diet: increase protein
43,Rabbit,Holland Lop,7.6,F,9.5,Medium,Mixed Diet,1988.0,29.1,12.6,Ear Infection,"Tamil Nadu, India",32.6,78.3,134.6,80.1,0.32,Vomiting,None,2025-09-30,Routine Checkup
44,Rabbit,Holland Lop,7.7,F,7.2,Low,Dry + Wet Mix,938.0,27.4,17.0,None,"Gujarat, India",31.3,59.5,50.3,88.6,0.31,None,None,2025-10-06,Routine Checkup
45,Cat,Bengal,2.7,F,3.0,Medium,Raw + Veg Mix,812.0,24.2,10.0,None,"Gujarat, India",24.8,54.1,61.1,122.3,0.44,None,None,2025-10-07,Routine Checkup
46,Rabbit,Holland Lop,12.7,M,10.5,Medium,Commercial Kibble,1194.0,31.9,19.1,None,"Kerala, India",31.7,73.3,209.8,47.1,0.21,None,None,2025-09-27,Routine Checkup
47,Rabbit,Holland Lop,6.8,F,8.8,High,Commercial Kibble,1950.0,26.4,13.7,None,"Tamil Nadu, India",32.6,74.2,134.6,59.8,0.21,None,None,2025-10-10,Routine Checkup
48,Dog,Pug,11.8,F,25.3,Low,Commercial Kibble,1689.0,27.0,17.0,None,"Gujarat, India",27.9,35.3,144.0,105.9,0.36,None,None,2025-09-30,Routine Checkup
49,Rabbit,Netherland Dwarf,3.1,F,5.3,High,Raw + Veg Mix,1581.0,24.4,11.5,None,"Gujarat, India",26.6,59.9,80.7,108.2,0.38,None,None,2025-10-08,Routine Checkup
50,Hamster,Roborovski,2.9,M,9.0,Medium,Dry + Wet Mix,1808.0,24.6,11.7,None,"Tamil Nadu, India",27.3,78.3,105.6,54.2,0.34,Lethargy,None,2025-10-23,Routine Checkup
51,Bird,Cockatiel,1.8,F,10.2,Medium,Dry + Wet Mix,1037.0,20.6,13.3,None,"Gujarat, India",36.3,50.5,66.9,108.6,0.3,None,None,2025-10-23,Routine Checkup
52,Dog,Pug,2.3,F,13.3,Medium,Mixed Diet,1638.0,28.9,14.5,None,"Kerala, India",25.1,83.7,334.4,51.2,0.23,Limping,Respiratory Infection,2025-09-30,Administer antibiotics
53,Rabbit,Netherland Dwarf,8.6,M,8.3,Low,Mixed Diet,1082.0,34.2,12.5,None,"Maharashtra, India",25.6,65.0,137.8,118.2,0.31,None,None,2025-09-26,Routine Checkup
54,Rabbit,Netherland Dwarf,7.8,F,10.8,High,Raw + Veg Mix,1730.0,30.3,13.6,None,"Gujarat, India",24.6,43.0,44.8,128.2,0.32,None,None,2025-10-14,Routine Checkup
55,Bird,Parakeet,2.4,F,6.6,Low,Commercial Kibble,1763.0,30.7,12.0,Ear Infection,"Kerala, India",29.3,76.7,389.6,33.4,0.32,Loss of Appetite,Parvovirus,2025-10-18,Vet exam and vaccination update
56,Bird,Canary,1.3,F,9.7,High,Mixed Diet,2070.0,32.0,19.9,Ear Infection,"Delhi, India",16.3,47.4,75.7,238.0,0.48,Lethargy,None,2025-10-02,Routine Checkup
57,Hamster,Syrian,11.6,M,3.0,Low,Homemade Cooked,2022.0,30.8,10.5,Feline Upper Resp Infection,"Kerala, India",31.6,82.6,198.9,40.8,0.26,Limping,Parvovirus,2025-09-30,Administer antibiotics
58,Rabbit,Netherland Dwarf,7.6,F,10.3,High,Homemade Cooked,1728.0,22.4,16.6,None,"Tamil Nadu, India",31.5,60.7,123.2,87.2,0.21,Lethargy,None,2025-10-14,Routine Checkup
59,Hamster,Roborovski,10.7,F,2.5,High,Mixed Diet,942.0,23.1,18.1,Ear Infection,"Delhi, India",16.9,24.7,93.4,272.0,0.49,None,None,2025-09-27,Routine Checkup
60,Rabbit,Netherland Dwarf,4.4,F,8.5,Low,Homemade Cooked,338.0,25.7,14.5,Ear Infection,"Kerala, India",29.6,84.1,290.9,45.7,0.23,Limping,Skin Allergy,2025-10-04,Vet exam and vaccination update
61,Rabbit,Netherland Dwarf,14.3,F,9.0,Medium,Commercial Kibble,1012.0,26.7,11.1,None,"Tamil Nadu, India",31.1,77.3,181.1,55.6,0.43,None,None,2025-10-19,Routine Checkup
62,Bird,Parakeet,6.0,M,2.0,Medium,Commercial Kibble,749.0,20.1,11.8,Feline Upper Resp Infection,"Delhi, India",22.6,40.6,47.7,335.9,0.45,Watery Eyes,Parvovirus,2025-10-05,Provide joint supplements
63,Cat,Persian,14.7,M,4.2,Medium,Raw + Veg Mix,821.0,26.0,16.8,None,"Delhi, India",28.2,29.0,32.4,193.2,0.41,Lethargy,None,2025-10-12,Routine Checkup
64,Rabbit,Netherland Dwarf,8.7,F,4.2,Medium,Homemade Cooked,596.0,25.6,18.1,Respiratory Infection,"Gujarat, India",28.0,51.3,91.5,133.2,0.45,Coughing,Ear Infection,2025-10-15,Adjust diet: increase protein
65,Dog,Beagle,5.1,M,29.9,High,Dry + Wet Mix,1973.0,30.4,10.5,Parvovirus,"Maharashtra, India",23.4,64.0,105.8,62.3,0.19,None,None,2025-10-13,Routine Checkup
66,Hamster,Syrian,8.6,F,5.5,High,Commercial Kibble,1073.0,32.3,12.4,None,"Maharashtra, India",29.3,66.9,202.4,55.3,0.34,Vomiting,None,2025-09-30,Routine Checkup
67,Rabbit,Holland Lop,7.0,F,7.1,High,Dry + Wet Mix,1700.0,22.7,12.1,Feline Upper Resp Infection,"Gujarat, India",28.4,38.6,106.9,106.5,0.35,Vomiting,None,2025-10-12,Routine Checkup
68,Dog,Beagle,4.6,F,5.6,High,Dry + Wet Mix,1743.0,25.2,15.2,None,"Delhi, India",34.3,35.7,13.5,323.2,0.48,Watery Eyes,None,2025-10-23,Routine Checkup
69,Cat,Maine Coon,6.8,M,4.5,Low,Mixed Diet,1685.0,28.8,18.8,None,"Maharashtra, India",28.0,42.4,101.8,113.7,0.21,None,None,2025-10-23,Routine Checkup
70,Rabbit,Netherland Dwarf,13.9,M,11.4,Low,Dry + Wet Mix,1919.0,32.8,15.0,Arthritis,"Delhi, India",22.3,58.2,81.3,274.2,0.5,Vomiting,None,2025-10-22,Routine Checkup
71,Cat,Siamese,6.1,F,2.4,Medium,Commercial Kibble,623.0,34.3,15.8,Respiratory Infection,"Gujarat, India",24.2,33.6,16.8,137.2,0.23,Limping,None,2025-10-15,Routine Checkup
72,Bird,Cockatiel,2.3,M,5.3,Low,Dry + Wet Mix,1148.0,28.1,14.6,None,"Kerala, India",31.8,80.2,165.6,37.0,0.37,None,None,2025-09-30,Routine Checkup
73,Bird,Cockatiel,12.3,F,7.7,Medium,Raw + Veg Mix,1114.0,30.9,14.7,Arthritis,"Maharashtra, India",22.8,49.2,181.9,79.9,0.25,None,None,2025-09-23,Routine Checkup
74,Rabbit,Holland Lop,6.7,M,10.0,Medium,Mixed Diet,703.0,25.0,16.7,None,"Tamil Nadu, India",31.1,72.6,140.7,88.2,0.28,Watery Eyes,None,2025-10-16,Routine Checkup
75,Dog,Beagle,10.8,M,31.5,High,Mixed Diet,1798.0,26.4,13.7,Parvovirus,"Maharashtra, India",30.6,59.6,64.5,62.9,0.42,Sneezing,None,2025-09-27,Routine Checkup
76,Hamster,Syrian,2.2,M,11.8,High,Mixed Diet,1590.0,30.1,15.9,Ear Infection,"Delhi, India",39.8,59.4,82.5,238.4,0.58,Watery Eyes,None,2025-10-22,Routine Checkup
77,Dog,German Shepherd,0.6,F,4.4,High,Homemade Cooked,1333.0,21.5,15.6,Parvovirus,"Tamil Nadu, India",30.5,79.0,152.9,77.7,0.43,Sneezing,None,2025-09-24,Routine Checkup
78,Hamster,Roborovski,13.3,F,4.7,High,Mixed Diet,2082.0,27.4,14.2,Respiratory Infection,"Maharashtra, India",33.5,43.9,188.6,115.3,0.24,None,None,2025-10-18,Routine Checkup
79,Rabbit,Netherland Dwarf,11.4,M,2.9,High,Commercial Kibble,524.0,28.5,10.6,None,"Maharashtra, India",25.4,61.4,249.4,84.1,0.39,None,None,2025-10-16,Routine Checkup
80,Rabbit,Holland Lop,7.4,F,2.8,Medium,Dry + Wet Mix,1488.0,31.1,11.9,Ear Infection,"Delhi, India",32.8,20.2,42.9,244.8,0.54,None,None,2025-10-16,Routine Checkup
81,Dog,German Shepherd,10.2,M,17.1,Low,Commercial Kibble,1532.0,30.0,19.7,Arthritis,"Maharashtra, India",22.6,52.5,163.2,64.5,0.37,Watery Eyes,None,2025-10-19,Routine Checkup
82,Bird,Canary,2.5,M,9.1,Low,Commercial Kibble,1511.0,28.1,17.3,Arthritis,"Tamil Nadu, India",26.0,69.6,183.4,72.8,0.32,None,None,2025-10-02,Routine Checkup
83,Rabbit,Holland Lop,11.5,M,2.4,Medium,Commercial Kibble,1772.0,23.6,13.7,Arthritis,"Delhi, India",23.6,59.6,44.0,172.0,0.37,None,None,2025-10-20,Routine Checkup
84,Cat,Bengal,7.9,F,8.2,High,Mixed Diet,2189.0,25.3,18.4,Parvovirus,"Gujarat, India",24.4,42.4,54.7,145.2,0.39,Sneezing,None,2025-10-06,Routine Checkup
85,Hamster,Syrian,3.8,F,6.2,Medium,Raw + Veg Mix,1238.0,24.9,17.5,None,"Kerala, India",30.3,72.2,165.8,57.4,0.22,Loss of Appetite,None,2025-10-17,Routine Checkup
86,Hamster,Syrian,8.3,F,6.2,Low,Raw + Veg Mix,1100.0,31.6,18.8,Ear Infection,"Maharashtra, India",28.2,40.8,191.3,106.8,0.45,Loss of Appetite,Skin Allergy,2025-10-11,Administer antibiotics
87,Bird,Parakeet,1.4,M,10.5,Low,Homemade Cooked,1974.0,23.0,11.3,Skin Allergy,"Kerala, India",27.5,85.3,173.1,37.5,0.42,None,None,2025-10-19,Routine Checkup
88,Dog,Pug,11.5,M,9.6,Medium,Homemade Cooked,1560.0,22.1,10.5,None,"Tamil Nadu, India",31.6,61.1,100.2,86.1,0.38,Vomiting,None,2025-10-01,Routine Checkup
89,Cat,Persian,14.6,F,5.9,Medium,Raw + Veg Mix,1926.0,32.4,16.7,Skin Allergy,"Delhi, India",36.2,30.2,57.2,217.1,0.46,None,None,2025-10-23,Routine Checkup
90,Hamster,Roborovski,12.7,F,7.1,High,Commercial Kibble,1639.0,22.3,12.7,None,"Tamil Nadu, India",34.0,69.1,81.1,71.1,0.32,Vomiting,Feline Upper Resp Infection,2025-10-01,Hydration therapy
91,Hamster,Roborovski,10.0,M,8.4,Low,Mixed Diet,1797.0,26.4,13.9,None,"Delhi, India",24.5,51.2,13.3,162.3,0.46,None,None,2025-10-15,Routine Checkup
92,Bird,Canary,7.5,F,10.0,High,Homemade Cooked,508.0,31.8,19.7,None,"Tamil Nadu, India",33.2,72.3,130.4,69.2,0.29,Loss of Appetite,None,2025-10-20,Routine Checkup
93,Cat,Maine Coon,1.1,M,7.1,High,Raw + Veg Mix,840.0,29.2,10.4,Skin Allergy,"Delhi, India",35.3,42.4,40.4,279.9,0.6,Watery Eyes,None,2025-10-16,Routine Checkup
94,Cat,Persian,7.0,M,11.7,High,Mixed Diet,373.0,34.1,15.4,None,"Tamil Nadu, India",30.9,67.3,116.0,54.4,0.35,Sneezing,None,2025-10-12,Routine Checkup
95,Hamster,Syrian,9.0,F,3.0,Medium,Dry + Wet Mix,1536.0,22.4,18.6,None,"Delhi, India",16.6,32.8,70.2,202.3,0.45,Sneezing,Arthritis,2025-10-06,Administer antibiotics
96,Rabbit,Netherland Dwarf,14.5,F,9.4,Medium,Raw + Veg Mix,1248.0,26.3,11.6,Parvovirus,"Delhi, India",20.3,54.0,38.7,220.6,0.4,None,None,2025-10-02,Routine Checkup
97,Bird,Parakeet,9.5,M,8.4,Low,Mixed Diet,1831.0,29.1,11.1,Feline Upper Resp Infection,"Kerala, India",26.7,79.4,320.8,44.6,0.2,None,None,2025-10-20,Routine Checkup
98,Bird,Cockatiel,13.5,F,9.1,Low,Commercial Kibble,2148.0,31.1,18.4,Parvovirus,"Kerala, India",31.4,77.2,366.1,54.8,0.22,Vomiting,None,2025-10-09,Routine Checkup
99,Cat,Bengal,4.7,F,5.6,Low,Homemade Cooked,1301.0,22.3,15.0,Parvovirus,"Delhi, India",29.0,24.6,20.9,285.0,0.59,Vomiting,None,2025-10-04,Routine Checkup
100,Rabbit,Netherland Dwarf,13.5,M,2.8,Medium,Raw + Veg Mix,1028.0,33.0,13.6,Ear Infection,"Kerala, India",31.9,87.4,212.5,31.9,0.29,Limping,Ear Infection,2025-10-07,Vet exam and vaccination update
101,Rabbit,Holland Lop,12.4,M,4.7,Medium,Commercial Kibble,307.0,31.0,16.3,Arthritis,"Maharashtra, India",28.2,63.3,50.8,73.9,0.29,None,None,2025-09-26,Routine Checkup
102,Dog,Pug,13.3,F,39.7,Low,Mixed Diet,1650.0,33.8,16.3,Arthritis,"Gujarat, India",32.1,40.5,54.6,79.1,0.31,Watery Eyes,None,2025-10-11,Routine Checkup
103,Bird,Canary,6.9,F,2.1,Medium,Commercial Kibble,1205.0,21.1,10.4,Feline Upper Resp Infection,"Delhi, India",27.8,22.7,54.9,316.5,0.52,None,None,2025-10-10,Routine Checkup
104,Cat,Bengal,4.5,F,3.9,Low,Dry + Wet Mix,569.0,23.0,13.3,Skin Allergy,"Maharashtra, India",24.0,66.4,84.5,112.8,0.25,Lethargy,Ear Infection,2025-09-27,Provide joint supplements
105,Hamster,Syrian,7.5,F,6.3,High,Homemade Cooked,1438.0,20.9,11.2,Ear Infection,"Maharashtra, India",26.1,50.2,208.2,119.1,0.25,Loss of Appetite,None,2025-10-12,Routine Checkup
106,Cat,Persian,7.4,M,4.6,Medium,Mixed Diet,1697.0,28.4,14.7,None,"Maharashtra, India",28.0,48.1,240.3,102.3,0.23,Sneezing,None,2025-10-22,Routine Checkup
107,Rabbit,Holland Lop,2.7,M,4.2,Medium,Homemade Cooked,982.0,23.7,13.0,None,"Delhi, India",27.0,53.8,62.6,321.4,0.57,None,None,2025-10-08,Routine Checkup
108,Hamster,Syrian,7.5,M,2.3,Low,Mixed Diet,647.0,27.8,14.8,None,"Tamil Nadu, India",32.4,60.7,114.1,62.6,0.3,Loss of Appetite,Parvovirus,2025-10-18,Adjust diet: increase protein
109,Rabbit,Netherland Dwarf,4.9,F,2.4,Medium,Mixed Diet,1988.0,22.5,10.1,Ear Infection,"Maharashtra, India",32.6,55.7,216.7,108.6,0.34,None,None,2025-10-12,Routine Checkup
110,Rabbit,Netherland Dwarf,13.2,F,3.5,Medium,Commercial Kibble,2191.0,34.1,10.6,Ear Infection,"Delhi, India",15.8,58.9,57.5,153.5,0.38,Limping,Respiratory Infection,2025-10-03,Adjust diet: increase protein
111,Hamster,Syrian,5.2,F,11.7,Low,Raw + Veg Mix,585.0,29.3,10.3,Skin Allergy,"Tamil Nadu, India",24.9,71.2,84.1,87.2,0.34,Limping,Ear Infection,2025-10-09,Adjust diet: increase protein
112,Hamster,Syrian,14.2,M,11.5,Low,Mixed Diet,428.0,23.0,13.5,Parvovirus,"Tamil Nadu, India",27.0,77.1,107.1,65.1,0.42,Vomiting,Arthritis,2025-09-26,Administer antibiotics
113,Rabbit,Holland Lop,7.1,F,4.3,Medium,Dry + Wet Mix,1543.0,32.8,13.8,None,"Delhi, India",16.7,29.9,69.2,174.5,0.41,Lethargy,None,2025-09-28,Routine Checkup
114,Bird,Cockatiel,9.3,M,4.2,Low,Commercial Kibble,1560.0,21.0,13.5,None,"Tamil Nadu, India",33.9,70.3,149.2,56.6,0.41,Lethargy,Arthritis,2025-10-23,Vet exam and vaccination update
115,Dog,German Shepherd,10.5,M,36.7,High,Commercial Kibble,2076.0,33.3,19.1,None,"Gujarat, India",27.8,39.8,114.5,126.7,0.22,Coughing,Skin Allergy,2025-10-09,Vet exam and vaccination update
116,Dog,German Shepherd,4.6,M,31.3,Low,Mixed Diet,622.0,21.0,13.1,None,"Delhi, India",34.1,36.5,31.4,301.7,0.45,Lethargy,Respiratory Infection,2025-10-14,Provide joint supplements
117,Bird,Parakeet,13.3,M,11.7,Medium,Mixed Diet,881.0,21.2,17.1,None,"Delhi, India",16.5,59.7,42.0,287.1,0.41,None,None,2025-10-05,Routine Checkup
118,Rabbit,Holland Lop,3.9,M,11.1,Medium,Commercial Kibble,328.0,32.6,17.8,None,"Maharashtra, India",26.5,60.6,147.9,61.8,0.18,Watery Eyes,None,2025-10-17,Routine Checkup
119,Rabbit,Netherland Dwarf,6.2,M,4.8,High,Raw + Veg Mix,1014.0,30.6,14.9,Respiratory Infection,"Tamil Nadu, India",30.9,76.8,171.1,46.4,0.4,Vomiting,None,2025-09-30,Routine Checkup
120,Hamster,Roborovski,12.0,M,5.7,High,Commercial Kibble,305.0,31.1,14.6,None,"Kerala, India",28.7,70.7,229.3,32.5,0.25,Sneezing,Respiratory Infection,2025-10-04,Administer antibiotics
121,Bird,Cockatiel,11.5,M,4.9,High,Dry + Wet Mix,346.0,23.3,16.9,Feline Upper Resp Infection,"Tamil Nadu, India",32.2,66.9,138.6,84.6,0.32,None,None,2025-10-11,Routine Checkup
122,Hamster,Roborovski,7.6,F,10.2,Medium,Mixed Diet,1760.0,28.1,15.5,None,"Gujarat, India",26.2,36.9,144.7,134.0,0.28,None,None,2025-10-09,Routine Checkup
123,Cat,Siamese,1.9,F,7.9,Low,Commercial Kibble,799.0,30.3,13.2,Feline Upper Resp Infection,"Tamil Nadu, India",33.7,77.8,109.8,77.9,0.29,Loss of Appetite,Parvovirus,2025-10-07,Provide joint supplements
124,Rabbit,Holland Lop,7.7,F,9.0,High,Homemade Cooked,1175.0,20.3,17.2,Feline Upper Resp Infection,"Maharashtra, India",27.7,42.2,106.4,102.4,0.32,Vomiting,None,2025-10-13,Routine Checkup
125,Bird,Parakeet,3.1,M,11.2,High,Dry + Wet Mix,365.0,34.0,19.4,Ear Infection,"Kerala, India",28.4,87.4,195.0,33.4,0.18,None,None,2025-10-19,Routine Checkup
126,Dog,Pug,2.5,F,26.1,Low,Homemade Cooked,900.0,32.6,16.7,Parvovirus,"Kerala, India",32.0,74.8,284.8,34.7,0.23,None,None,2025-09-29,Routine Checkup
127,Rabbit,Netherland Dwarf,6.4,F,7.0,Medium,Mixed Diet,2018.0,24.0,13.5,Parvovirus,"Delhi, India",16.7,49.8,55.4,187.7,0.37,Lethargy,None,2025-10-21,Routine Checkup
128,Bird,Parakeet,13.2,F,7.2,Medium,Homemade Cooked,731.0,25.1,11.3,None,"Delhi, India",32.1,40.7,43.4,243.1,0.42,Loss of Appetite,Respiratory Infection,2025-10-10,Adjust diet: increase protein
